,start_date_local,type,distance,moving_time,elapsed_time,average_speed,max_speed,total_elevation_gain,elev_high,elev_low,average_cadence,has_heartrate,average_heartrate,max_heartrate,gear_id,start_time
0,2024-12-30,Yoga,0.0,1892,1892,0.0,0.0,0.0,0.0,0.0,,True,79.8,113.0,,12:58:16
3,2024-12-26,Walk,1819.0,968,1205,1.879,9.692,11.0,5.6,0.0,,True,112.7,172.0,,12:04:32
10,2024-12-15,Walk,5886.6,4401,4491,1.338,2.473,67.0,72.8,33.6,,True,110.7,135.0,,14:14:20
15,2024-12-08,Walk,4522.0,3649,4196,1.239,5.94,150.4,99.6,0.0,,True,98.3,114.0,,13:38:08
27,2024-10-19,Walk,1481.3,1260,1430,1.176,2.8,7.6,228.9,221.9,,True,103.5,117.0,,14:42:24
28,2024-10-18,Walk,3814.7,3121,3247,1.222,1.602,58.1,278.4,258.2,,True,112.7,164.0,,10:04:14
29,2024-10-15,Walk,816.8,734,812,1.113,1.432,0.0,229.8,228.1,,True,98.3,111.0,,19:16:17
30,2024-10-15,Walk,2130.7,1915,2528,1.113,2.016,20.5,238.0,225.2,,True,93.1,133.0,,18:32:09
31,2024-10-14,Walk,3367.9,2922,3081,1.153,1.542,49.2,278.4,258.2,,True,109.0,145.0,,10:16:10
32,2024-10-06,Walk,2251.7,1885,2096,1.195,2.068,16.3,244.9,240.1,,True,102.4,160.0,,12:03:03
33,2024-10-03,Walk,1112.9,720,1040,1.546,3.7600000000000002,12.1,38.8,23.7,,True,103.9,115.0,,23:20:41
34,2024-10-03,Walk,812.6,695,827,1.169,1.478,0.0,48.6,45.1,,True,94.5,112.0,,13:23:07
35,2024-10-03,Walk,1555.9,1355,1632,1.148,2.002,0.0,47.4,24.4,,True,101.0,141.0,,10:31:20
36,2024-10-02,Walk,1005.9,916,973,1.098,1.594,9.7,35.2,24.6,,True,114.3,129.0,,23:19:32
37,2024-10-02,Walk,1771.4,1188,1318,1.491,3.478,24.1,50.4,27.3,,True,109.6,138.0,,22:12:30
38,2024-10-02,Walk,295.6,302,760,0.979,1.748,0.0,47.2,46.0,,True,87.0,96.0,,19:26:12
39,2024-10-02,Walk,1037.5,887,1011,1.17,2.058,0.0,33.2,24.6,,True,92.3,106.0,,09:11:50
40,2024-10-01,Walk,937.3,703,951,1.333,3.038,11.2,35.2,23.9,,True,104.0,123.0,,21:38:48
41,2024-10-01,Walk,1124.6,752,842,1.496,3.094,0.0,32.6,25.0,,True,113.2,125.0,,12:04:03
42,2024-09-30,Walk,950.5,797,1621,1.193,1.978,4.9,35.0,29.7,,True,95.4,116.0,,19:26:30
43,2024-09-30,Walk,807.8,715,741,1.13,2.445,0.0,46.6,45.3,,True,101.8,115.0,,14:03:13
