,start_date_local,type,distance,moving_time,elapsed_time,average_speed,max_speed,total_elevation_gain,elev_high,elev_low,average_cadence,has_heartrate,average_heartrate,max_heartrate,gear_id,start_time
1,2024-12-29,Run,7012.8,2871,2871,2.443,3.82,0.0,2.7,1.1,83.2,True,160.2,168.0,,12:37:08
2,2024-12-28,Run,12010.1,4628,4632,2.595,4.6,2.5,2.9,0.0,83.2,True,167.5,180.0,,10:55:54
4,2024-12-26,Run,5819.0,2277,2304,2.556,5.62,2.1,3.3,1.1,78.0,True,166.5,188.0,,11:25:55
5,2024-12-24,Run,7882.9,3120,3127,2.527,4.88,2.0,3.4,1.1,81.0,True,153.2,169.0,,10:25:38
6,2024-12-22,Run,6007.6,2419,2419,2.484,3.38,0.0,2.5,1.6,82.0,True,153.2,165.0,,13:07:22
7,2024-12-21,Run,11016.1,4263,4263,2.584,4.08,2.8,4.0,1.1,82.7,True,167.1,178.0,,10:04:53
8,2024-12-19,Run,5540.8,2168,2193,2.556,4.26,0.0,2.5,1.1,78.2,True,159.5,180.0,,13:27:50
9,2024-12-17,Run,6029.5,2277,2294,2.648,4.76,12.4,34.9,28.1,82.3,True,170.0,190.0,,08:42:13
11,2024-12-14,Run,10021.2,4174,4209,2.401,3.8,31.4,38.5,24.9,80.9,True,160.1,168.0,,11:59:37
12,2024-12-12,Run,6015.3,2450,2453,2.455,3.9,16.0,35.4,28.1,83.0,True,150.8,155.0,,10:33:22
13,2024-12-10,Run,2029.7,826,829,2.457,3.24,15.2,45.8,30.6,,True,161.1,174.0,,08:37:36
14,2024-12-09,Run,5523.1,2140,2145,2.581,3.38,29.6,37.0,30.6,,True,165.5,183.0,,12:01:02
16,2024-12-04,Run,10312.8,4162,4179,2.478,3.4,49.8,36.0,28.4,,True,157.1,166.0,,09:55:06
17,2024-12-02,Run,3513.8,1218,1232,2.8850000000000002,3.947,14.0,35.6,28.8,,True,163.3,182.0,,09:02:24
18,2024-12-01,Run,6520.9,2537,2540,2.57,3.68,44.0,46.6,29.8,,True,162.5,176.0,,12:29:39
19,2024-11-27,Run,3258.2,1365,1395,2.387,3.54,39.8,63.2,33.8,,True,155.1,158.0,,09:03:24
20,2024-11-26,Run,5379.9,1986,2002,2.709,4.3,24.0,35.6,28.8,,True,167.5,183.0,,09:39:42
21,2024-11-24,Run,4196.6,2047,2129,2.05,3.2,37.8,64.9,32.0,,False,,,,11:34:18
22,2024-11-23,Run,5017.9,2362,2427,2.124,5.26,13.5,34.8,27.4,,False,,,,12:35:16
23,2024-11-19,Run,4406.5,1848,1855,2.384,4.32,10.4,34.9,28.1,,False,,,,13:37:25
24,2024-11-18,Run,3007.9,1190,1190,2.528,3.88,18.4,43.5,30.3,,False,,,,08:51:48
25,2024-11-07,VirtualRun,5000.0,2112,2112,2.367,0.0,0.0,,,,False,,,,16:30:00
26,2024-10-26,Run,5022.2,2312,2315,2.172,3.03,18.0,8.9,1.5,,False,,,,08:33:04
56,2024-09-22,Run,7093.5,2859,2870,2.481,5.47,37.9,40.0,27.6,,True,163.9,176.0,,12:03:38
62,2024-09-19,Run,5581.9,2182,2190,2.558,3.872,16.3,34.0,28.2,,True,156.2,170.0,,09:47:32
64,2024-09-17,Run,7078.9,2765,2781,2.56,3.93,17.2,33.9,26.7,,True,165.7,172.0,,09:56:56
66,2024-09-15,Run,4591.7,1707,1707,2.69,4.376,10.6,34.0,28.2,,True,162.7,175.0,,10:19:15
71,2024-09-13,Run,7619.1,2972,2988,2.564,3.892,16.3,34.3,26.7,,True,169.3,182.0,,10:43:43
80,2024-09-11,Run,5909.9,2226,2248,2.655,3.72,30.1,33.7,26.1,,True,166.4,175.0,,13:03:44
85,2024-09-09,Run,6086.8,2268,2283,2.684,3.382,27.6,34.2,25.9,,True,163.4,180.0,,12:38:43
92,2024-09-04,Run,6076.4,2271,2350,2.676,4.016,5.4,46.5,22.3,,True,56.0,56.0,,08:47:45
93,2024-09-03,Run,6079.2,2259,2269,2.691,4.09,26.6,33.9,26.1,,False,,,,12:11:47
104,2024-08-31,Run,4097.7,1484,1617,2.761,4.222,31.0,44.1,22.9,,True,159.1,174.0,,11:25:23
109,2024-08-29,Run,6699.6,2645,2658,2.533,3.88,20.1,34.0,27.4,,True,163.6,187.0,,09:33:32
112,2024-08-27,Run,5112.2,1935,1975,2.642,5.586,22.8,42.5,22.7,,True,165.7,177.0,,09:08:34
114,2024-08-26,Run,4048.6,1566,1590,2.585,4.194,23.0,43.6,28.0,,True,162.2,174.0,,13:21:44
117,2024-08-24,Run,4284.2,1483,1509,2.8890000000000002,4.91,24.4,42.2,20.9,,True,157.1,171.0,,11:52:08
120,2024-08-23,Run,4047.2,1466,1477,2.761,4.224,19.6,42.4,28.0,,True,156.0,168.0,,11:21:25
122,2024-08-22,Run,8096.6,2967,2990,2.729,4.434,23.5,40.6,21.2,,True,160.9,173.0,,09:45:10
125,2024-08-21,Run,4051.6,1563,1563,2.592,3.58,18.4,43.7,30.2,,True,158.0,169.0,,09:27:50
127,2024-08-18,Run,2307.0,974,1034,2.369,2.74,42.7,75.2,32.2,,True,154.3,174.0,,11:23:52
128,2024-08-17,Run,4059.0,1536,1590,2.643,3.55,23.5,44.1,20.9,,True,158.9,170.0,,19:32:25
129,2024-08-16,Run,4157.2,1552,1571,2.679,4.752,24.5,46.8,20.0,,True,160.8,173.0,,09:57:45
130,2024-08-15,Run,4200.0,1440,1440,2.917,0.0,0.0,,,,False,,,,16:15:26
131,2024-08-14,Run,2536.1,963,975,2.634,3.574,3.0,33.7,30.4,,True,144.5,171.0,,12:18:35
132,2024-08-13,Run,5063.8,1822,1851,2.779,3.868,32.1,40.3,18.9,,True,155.7,176.0,,09:35:18
134,2024-08-11,Run,5067.5,1773,1792,2.858,3.95,23.5,40.8,22.8,,True,151.4,176.0,,09:57:01
135,2024-08-08,Run,4758.1,1697,1714,2.804,4.016,15.2,40.8,20.0,,True,133.0,165.0,,11:44:35
136,2024-08-07,Run,3046.3,1083,1093,2.813,4.284,9.3,36.0,29.4,,True,143.2,170.0,,08:58:30
